"Bill of Material for "
"On 23/11/2014 at 05:59:01 p.m."

"Comment","Pattern","Quantity","Components"

"+10v","cONECTOR","1","P2","Header, 2-Pin"
"0.01u","RAD-0.1","1","C3","Capacitor"
"10","AXIAL-0.3","1","R21","Resistor"
"100k","AXIAL-0.3","3","R1, R2, R3","Resistor"
"10k","AXIAL-0.3","8","R12, R13, R14, R15, R16, R17, R18, R23","Resistor"
"10k","TPParado","2","VR1, VR2","Potentiometer"
"10n","CAPR5-4X5","1","C7","Capacitor"
"10u","CAPR5-4X5","1","C1","Capacitor"
"10v","6-0805_M","1","D3","Typical RED GaAs LED"
"-10v","6-0805_M","1","D2","Typical RED GaAs LED"
"150","6-0805_M","1","R24","Resistor"
"160","6-0805_M","1","R27","Resistor"
"16Mhz","Crystal","1","Y1","Crystal Oscillator"
"20k","AXIAL-0.3","9","R4, R5, R6, R7, R8, R9, R10, R11, R19","Resistor"
"220u","CAPR5-4X5","1","C8","Capacitor"
"22n","RAD-0.1","2","C5, C6","Capacitor"
"360","6-0805_M","1","R25","Resistor"
"3k","AXIAL-0.3","1","R20","Resistor"
"430","6-0805_M","1","R26","Resistor"
"5v","6-0805_M","1","D4","Typical RED GaAs LED"
"5v","cONECTOR","1","P63D","Header, 2-Pin"
"741","DIP-8","5","OP1, OP2, OP3, OP4, OP5","FET Operational Amplifier"
"ATmega328P-PU","28P3","1","U1","8-bit AVR Microcontroller, 32KB Flash, 1KB EEPROM, 2KB SRAM, 28-pin PDIP, Industrial Grade (-40°C to 85°C)"
"Cap","RAD-0.1","1","C4","Capacitor"
"Cap","RAD-0.2","1","C2","Capacitor"
"LED1","6-0805_M","1","CUT","Typical RED GaAs LED"
"Speaker","cONECTOR","1","Vout","Loudspeaker"
"SW-PB","PBUniversal","1","S1","Switch"
"Test","HDR1X10","1","P7","Header, 10-Pin"
"VCC","HDR2X5","1","P5","Header, 5-Pin, Dual row"
"Vin","cONECTOR","1","P1","Header, 2-Pin"
